ADDRESS,AMOUNT,TAG
0x67c358ec1181fc1e19daeebae1029cb478bb71917a5659a83a361c012fe3b6b,4.242417276,Braavos: Titans Armor Set NFT
0x2a6e0ecda844736c4803a385fb1372eff458c365d2325c7d4e08032c7a908f3,4.224842438,10KSwap: WBTC-ETH Pool
0x2e0af29598b407c8716b17f6d2795eca1b471413fa03fb145a5e33722184067,4.209842116,Ekubo: Positions
0x260e98362e0949fefff8b4de85367c035e44f734c9f8069b6ce2075ae86b45c,4.177105656,JediSwap: WBTC/ETH Pool
0x51734077ba7baf5765896c56ce10b389d80cdcee8622e23c0556fb49e82df1b,4.0793819,Unframed: NFT Marketplace
0xf6f4cf62e3c010e0ac2451cc7807b5eec19a40b0faacd00cca3914280fdf5a,3.978565776,0
0x3c10537fa0073b2dd5120242697dbf76d6173eb9f384d3bf3d284d53388a0b0,3.708296961,
0x247444a11a98ee7896f9dec18020808249e8aad21662f2fa00402933dce402,3.661588751,briq: Token
0xf0f5b3eed258344152e1f17baf84a2e1b621cd754b625bec169e8595aea767,3.636484195,JediSwap: DAI/USDT Pool
0x7500d8ba71b0a0c587fa431753dbb01a4595a434f27b296358c2c4cb7f83585,3.568414667,
0x2aab581754064a87ade1b680fd9756dc3a17440a87aaf496dcfb39fd163d1dd,3.408358671,
0x69d369e52fd3f8ce32ab6073a4296f4ce8c832b125284e8f0d653e02e93541d,3.341176565,
0x6182278e63816ff4080ed07d668f991df6773fd13db0ea10971096033411b11,3.22904355,
0x6d272e18e66289eeb874d0206a23afba148ef35f250accfdfdca085a478aec0,3.100224451,Nostra: cdpManager
0x3090623ea32d932ca1236595076b00702e7d860696faf300ca9eb13bfe0a78c,3.092090758,Aspect: NFT Storefront
0x4d8bb956e6bd7a50fcb8b49d8e9fd8269cfadbeb73f457fd6d3fc1dff4b879e,2.735926651,
0x3201e8057a781dca378564b9d3bbe9b5b7617fac4ad9d9deaa1024cf63f877e,2.680898495,Fibrous Finance: Router V2
0x47043bdc61075ba93d3d6929567e90c890e0246353a804f29c5f0c70e3c3106,2.66609826,
0x811d8da5dc8a2206ea7fd0b28627c2d77280a515126e62baa4d78e22714c4a,2.582956763,zkLend: zUSDT Token
0x41d52e15e82b003bf0ad52ca58393c87abef3e00f1bf69682fd4162d5773f8f,2.565679815,10KSwap: DAI-USDT Pool
0x6388d8846a7a87f00b353112268f5e010335b2440175ba99717b6ff11545be,2.46592091,
0x124aeb495b947201f5fac96fd1138e326ad86195b98df6dec9009158a533b49,2.387239499,Realms: LORDS Token
0xcdfc87dc817a572d5c0fe5bd1ed66d6a5f57f8ac443f68fa3ebc7405728a44,2.387054059,
0x78ffe682479c13e6599c34c6775e3d01c57e0b79fb32841774821404dadcec1,2.324154456,
0x4848d0dd8a296352ba4fe100fed9d6f44cbd0a8d360b7d551d986732a14791a,2.236234122,briq: Shape Registry
0x46bfa580e4fa55a38eaa7f51a3469f86b336eed59a6136a07b7adcd095b0eb2,2.158470223,Rules: Tokens NFT
0x437bd0dab99c6a011ba3a9b17e103832c18af282a12c251555a1e05b8ea2f5b,2.135138245,
0x2b38c149009efd0c13f98d58de880c529fd8923682e026cc3b87c4602488c69,2.107990037,
0x7b696af58c967c1b14c9dde0ace001720635a660a8e90c565ea459345318b30,2.012766764,Ekubo: Positions NFT
0x6b1826599e9637eb16e11605ae5df008b7c043bfed0f1009ce99bd87b723fe7,1.965283787,mySwap: Yield Alchemy Stones
0x5a600a0a67b075e3cb5f33332b90806612e1548237cb507ce6ef93a04cdfa61,1.908265203,
0x62fa7afe1ca2992f8d8015385a279f49fad36299754fb1e9866f4f052289376,1.838769755,zkLend: zDAI Token
0x480258f58d43fb73936f803780047a0f6d0a563697d80bd3f95b603f9c8b1c8,1.820416492,Starknet.id: Verifier
0x41302e7d6c1329ceb18df33107ff285e3a46329f281aba2b0eb957240649760,1.807207788,
0x79b882cb8200c1c1d20e849a2ef19124b0b8985358c1313ea6af588cfe4fec8,1.79298859,Mint Square: NFT Marketplace
0x41f9a1e9a4d924273f5a5c0c138d52d66d2e6a8bee17412c6b0f48fe059ae04,1.617556215,mySwap: ETH/USDT Pool
0x4746485fa57b49dc992c35d7f12054b5a7d24b0e187021cd8f40bc2517700bc,1.615346272,Pragma: PublisherRegistry
0x6af9a313434c0987f5952277f1ac8c61dc4d50b8b009539891ed8aaee5d041d,1.580040021,Nostra: USDC InterestBearing Token
0x70f8a4fcd75190661ca09a7300b7c93fab93971b67ea712c664d7948a8a54c6,1.574074586,Nostra: ETH InterestBearingCollateral Token
0x2f8deaebb9da2cb53771b9e2c6d67265d11a4e745ebd74a726b8859c9337b9,1.544316094,Nostra: ETH InterestBearing Token
0x8d4f5b0830bd49a88730133a538ccaca3048ccf2b557114b1076feeff13c11,1.534094757,briq: Attributes Registry
0x57146f6409deb4c9fa12866915dd952aa07c1eb2752e451d7f3b042086bdeb8,1.532393034,
0x106ff0f48fba1274b1f4f65e6d847fa58ac455e95318754fec20eb221b660ed,1.491909121,
0x34b7f1c71726cd75e3b1664371beec65890e46f110f2c175d465163638c691a,1.448752652,
0x73f6addc9339de9822cab4dac8c9431779c09077f02ba7bc36904ea342dd9eb,1.442822892,
0x5a08fb18007357366a35739bd627fe00b00ff0881d58b076f34a69572f5fa8b,1.419894574,
0x29959a546dda754dc823a7b8aa65862c5825faeaaf7938741d8ca6bfdc69e4e,1.415501342,Nostra: USDC InterestBearingCollateral Token
0x7861c4e276294a7e859ff0ae2eec0c68300ad9cbb43219db907da9bad786488,1.367682191,Mint Square: NFT Storefront V1
0x2a92f0f860bf7c63fb9ef42cff4137006b309e0e6e1484e42d0b5511959414d,1.343492464,Aspect: NFT Marketplace
0x2b3030c04e9c920bd66c6a8dc209717bbefa1ea5f8bc8ebabd639e5a4766502,1.326360781,
0x794f6d207dc69674632b4204c44d928cef3a62cb4fe4b870ac95e29358f0803,1.323482329,
0x5abfa46fe9bf3323dfe801da51174729c2b3dd060b80575b29c015245899d74,1.28207545,Braavos: Stake+ wstETH
0x3a20d4f7b4229e7c4863dab158b4d076d7f454b893d90a62011882dc4caca2a,1.250286391,
0x70cda8400d7b1ee9e21f7194d320b9ad9c7a2b27e0d15a5a9967b9fefe10c76,1.192749645,
0x1fecadfe7cda2487c66291f2970a629be8eecdcb006ba4e71d1428c2b7605c7,1.16784487,
0x4b1b3fdf34d00288a7956e6342fb366a1510a9387d321c87f3301d990ac19d4,1.15026447,Flex Marketplace: NFT Marketplace
0x4b3802058cdd4fc4e352e866e2eef5abde7d62e78116ac68b419654cbebc021,1.141237957,
0x7ebd0e95dfc4411045f9424d45a0f132d3e40642c38fdfe0febacf78cc95e76,1.112036186,
0x14e644c20bd5f9888033d2093c8ba3334caa0c7d15ed142962a9bebf36cc7e0,1.10981075,mySwap: wstETH/ETH Pool
0x18e1324e477823b3fa6a307bbe81399eedb2dd0792151062830ad20fcc11fb0,1.107494464,Rules: Cards
0x5b991e122ff2410d32575eb369059bd26cb69a05d15001a0c93f2678d96d81c,1.090536558,JediSwap: Rise of the First LPs NFT
0x7fafbc7aa55dc5666eaac4caa1252e698aa629db12e398215dfd22bef99ff68,1.086402895,
0x1834bbbcb2e4d69aab350ada67a3ccc2b596e10e7ed1fad1da5d1bd2700b1f9,0.9941611346,
0x40b091cb020d91f4a4b34396946b4d4e2a450dbd9410432ebdbfe10e55ee5e5,0.9770136301,Nostra: ETH Debt Token
0x7c662b10f409d7a0a69c8da79b397fd91187ca5f6230ed30effef2dceddc5b3,0.9655024026,mySwap: DAI/ETH Pool
0x3b6058a9f6029b519bc72b2cc31bcb93ca704d0ab79fec2ae5d43f79ac07f7a,0.9560103247,Nostra: USDC Debt Token
0x6404c8e886fea27590710bb0e0e8c7a3e7d74afccc60663beb82707495f8609,0.9540834076,Nostra: USDT InterestBearing Token
0x6530c6d6bee06898faf2362de56d2ce7dcbb234f5318f495d12dd7ad5db1841,0.9499381131,
0x5a8054e5ca0b277b295a830e53bd71a6a6943b42d0dbb22329437522bc80c8,0.9325443193,JediSwap: WBTC/USDC Pool
0x22e45d94d5c6c477d9efd440aad71b2c02a5cd5bed9a4d6da10bb7c19fd93ba,0.9143482684,10KSwap: WBTC-USDC Pool
0x454f0bd015e730e5adbb4f080b075fdbf55654ff41ee336203aa2e1ac4d4309,0.8508750901,Dmail Network
0xb9b1a4373de5b1458e598df53195ea3204aa926f46198b50b32ed843ce508b,0.8446502822,Nostra: DAI InterestBearing Token
0x7a419872c27e3805e9967bd9f0cd35b832aa9551b5f7b6a2761dd2326297316,0.8413186096,
0x2a85bd616f912537c50a49a4076db02c00b29b2cdc8a197ce92ed1837fa875b,0.8353262857,
0x1ed6790cdca923073adc728080b06c159d9784cc9bf8fb26181acfdbe4256e6,0.8288678564,
0x1ea237607b7d9d2e9997aa373795929807552503683e35d8739f4dc46652de1,0.8110063023,mySwap: USDC/USDT Pool
0x55ba2baf189b98c59f6951a584a3a7d7d6ff2c4ef88639794e739557e1876f0,0.8029995557,Nostra: USDT InterestBearingCollateral Token
0x2718bbc0176cff083b5c95ac22691bd1c16d55d37ae153d3ba347ce2292417e,0.7953863228,
0x42e7815d9e90b7ea53f4550f74dc12207ed6a0faaef57ba0dbf9a66f3762d82,0.7826728095,Pyramid: NFT Storefront
0x1ac62a2c49ee86585aeb9159ce846fb23075af8ca123289e1184ddba8abf3a2,0.764327467,
0x5dcd26c25d9d8fd9fc860038dcb6e4d835e524eb8a85213a8cda5b7fff845f6,0.7220143785,
0x7d14dfd8ee95b41fce179170d88ba1f0d5a512e13aeb232f19cfeec0a88f8bf,0.7048386277,
0x2fc2d4b41cc1f03d185e6681cbd40cced61915d4891517a042658d61cba3b1,0.7032542487,
0x17bcbb8fca1ca93ed677a88609682106e2a1104bbffb7749a25afe837a77f21,0.6868904334,
0x23fb3afbff2c0e3399f896dcf7400acf1a161941cfb386e34a123f228c62832,0.647248283,
0x60cf64cf9edfc1b16ec903cee31a2c21680ee02fc778225dacee578c303806a,0.6421573088,
0xf9d8f827734f5fd54571f0e78398033a3c1f1074a471cd4623f2aa45163718,0.6311093693,10KSwap: DAI-WBTC Pool
0x7170f54dd61ae85377f75131359e3f4a12677589bb7ec5d61f362915a5c0982,0.6099267281,
0x295ff75c1b90e6464b341200a3fd5783378c89d18d77a1943024b88c3cf5824,0.5974189422,
0x50031010bcee2f43575b3afe197878e064e1a03c12f2ff437f29a2710e0b6ef,0.5944670082,10KSwap: WBTC-USDT Pool
0x2d5f0f2fcba62a54f0d8a73fb2e437d76c53f7297153b2afd1f198af6d12aa,0.5916031714,
0x5b456031650c1de9eec123d3e7d06a684d321a346d4a7cac9fd86c2b77cf70f,0.5568340094,
0x65440ad9a03b4e11c356dd034f54fdb90c2130e093ba630efd0503d04c58528,0.5435809993,
0xba3037d968790ac486f70acaa9a1cab10cf5843bb85c986624b4d0e5a82e74,0.5409177511,
0x2a1917759610163abfef5bd386ab879b18b53304520e527217ea83360678325,0.5402438125,
0x46145018634e29304cfff42b61c4225c8ca9900642ac350181b8be97f453ddd,0.537901349,
0x39c183c8e5a2df130eefa6fbaa3b8aad89b29891f6272cb0c90deaa93ec6315,0.537497188,JediSwap: DAI/WBTC Pool
0x4f89253e37ca0ab7190b2e9565808f105585c9cacca6b2fa6145553fa061a41,0.5281600494,Nostra: ETH Token
0x350479301f42225751b4d9b64e51d93ddc91d67ed96aacfab9356155bb95761,0.5043143303,Starknet Turkey: DeFi Adventure Legendary
0xa144ef99419e4dbb3ef99bc2db894fbe7b4532ebed9592a407908727321fcf,0.5030120108,
0x727a63f78ee3f1bd18f78009067411ab369c31dece1ae22e16f567906409905,0.5023364882,Starkpunks: NFT
0x12f3e256a78d411730c30d4ace443e31a59b1d48340d888d7aa198a2c4311f8,0.4992753266,
0xeaf728d8e09bfbe5f11881f848ca647ba41593502347ed2ec5881e46b57a32,0.4980530222,SithSwap: AMM Factory
0x2b9ea3acdb23da566cee8e8beae3125a1458e720dea68c4a9a7a2d8eb5bbb4a,0.4908277714,zkLend: zWBTC Token
0x44d13ad98a46fd2322ef2637e5e4c292ce8822f47b7cb9a1d581176a801c1a0,0.487026265,JediSwap: WBTC/USDT Pool
0x179aa76deab144ef996ddda6b37f9fb259c291f7b79f4e0fca63e64228a53f5,0.48397787,
0x65c6c7119b738247583286021ea05acc6417aa86d391dcdda21843c1fc6e9c6,0.480733511,Nostra: USDT Debt Token
0xc480346ef90a9463ef16b5ed5f9f9de66944f1eef78504d280a03086f46435,0.4800404242,
0x24a55b928496ef83468fdb9a5430fe031ac386b8f62f5c2eb7dd20ef7237415,0.4648115519,
0x19252b1deef483477c4d30cfcc3e5ed9c82fafea44669c182a45a01b4fdb97a,0.450992455,Layerswap: 1
0x725ab7ec93964151a7fc7d377383227a1ee06efff0143c6364a259842ffd4a7,0.4403846789,
0x1b862c518939339b950d0d21a3d4cc8ead102d6270850ac8544636e558fab68,0.4336896576,
0x69b1da498135bb5b06a322627f28945ca13bb759fa92074e8b4e1f06c567600,0.4276896676,
0x3b65c0d9664f7d186c457f6678044485fa3dc4e9bb921c9491bd229287351c8,0.4253629849,
0x5b021b6743c4f420e20786baa7fb9add1d711302c267afbc171252a74687376,0.4183301772,briq: Factory
0x3d3d82e290025869a76f9ac546f0abd61b44b9230f921f15b68177a0102d1,0.4182898306,
0x7d4dc2bf13ede97b9e458dc401d4ff6dd386a02049de879ebe637af8299f91d,0.4137771638,AlmanacNFT
